1,3,4,5,6,7
Thomas Gottschalk,Jurgen,,,,
Brandon Keener,Nimer,,,,
Robin Bakay,Rebecca,,,,
Gary Valentine,Pizza Guy,,,,
Justin Timberlake,Will Salas,,,,
Olivia Wilde,Rachel Salas,,,,
Shyloh Oostwald,Maya,,,,
Johnny Galecki,Borel,,,,
Colin McGurk,Citizen,,,,
Will Harris,Ulysse,,,,
Michael William Freeman,Nardin,,,,
Jesse Lee Soffer,Webb,,,,
Aaron Perilo,Bell,,,,
Nick Lashaway,Ekman,,,,
Will Peltz,Pierre,,,,
Ray Santiago,Victa,,,,
Matt Bomer,Henry Hamilton,,,,
Zuleyka Silver,Pasha,,,,
Laura Ashley Samuels,Sagita,,,,
Daniel Craig,Jake Lonergan,,,,
Abigail Spencer,Alice,,,,
Buck Taylor,Wes Claiborne,,,,
Matthew Taylor,Luke Claiborne (as Matt Taylor),,,,
Cooper Taylor,Mose Claiborne,,,,
Clancy Brown,Meacham,,,,
Paul Dano,Percy Dolarhyde,,,,
Chris Browning,Jed Parker,,,,
Adam Beach,Nat Colorado,,,,
Sam Rockwell,Doc,,,,
Ana de la Reguera,Maria (as Ana De La Reguera),,,,
Noah Ringer,Emmett Taggart,,,,
Brian Duffy,Deputy,,,,
Olivia Wilde,Ella Swenson,,,,
Keith Carradine,Sheriff John Taggart,,,,
George Clooney,Matt King,,,,
Shailene Woodley,Alexandra King,,,,
Amara Miller,Scottie King,,,,
Nick Krause,Sid,,,,
Patricia Hastie,Elizabeth King,,,,
Grace A. Cruz,Scottie's Teacher,,,,
Kim Gennaula,School Counselor,,,,
Karen Kuioka Hironaga,Barb Higgins,,,,
Carmen Kaichi,Lani Higgins,,,,
Kaui Hart Hemmings,Matt's Secretary Noe,,,,
Beau Bridges,Cousin Hugh,,,,
Matt Corboy,Cousin Ralph,,,,
Matt Esecson,Cousin Hal,,,,
Michael Ontkean,Cousin Milo,,,,
Stanton Johnston,Cousin Stan,,,,
Jeremy Irvine,Albert Narracott,,,,
Peter Mullan,Ted Narracott,,,,
Emily Watson,Rose Narracott,,,,
Niels Arestrup,Grandfather,,,,
David Thewlis,Lyons,,,,
Tom Hiddleston,Capt. Nicholls,,,,
Benedict Cumberbatch,Maj. Jamie Stewart,,,,
Celine Buckens,Emilie,,,,
Toby Kebbell,Geordie Soldier,,,,
Patrick Kennedy,Lt. Charlie Waverly,,,,
Leonard Carow,Michael,,,,
David Kross,Gunther,,,,
Matt Milne,Andrew Easton,,,,
Robert Emms,David Lyons,,,,
Eddie Marsan,Sgt. Fry,,,,
James Marsden,Fred O'Hare,,,,
Russell Brand,E.B. (voice) / Production Assistant,,,,
Kaley Cuoco,Sam O'Hare,,,,
Hank Azaria,Carlos / Phil (voice),,,,
Gary Cole,Henry O'Hare,,,,
Elizabeth Perkins,Bonnie O'Hare,,,,
Hugh Laurie,E.B.'s Dad (voice),,,,
Tiffany Espensen,Alex O'Hare,,,,
David Hasselhoff,David Hasselhoff,,,,
Chelsea Handler,Mrs. Beck,,,,
Dustin Ybarra,Cody,,,,
Carlease Burke,Receptionist,,,,
Veronica Alicino,Waitress,,,,
Django Marsh,Young E.B. (voice),,,,
Jimmy Carter,Blind Boys of Alabama (as Jimmy Lee Carter),,,,
Ben Kingsley,Georges Méliès,,,,
Sacha Baron Cohen,Station Inspector,,,,
Asa Butterfield,Hugo Cabret,,,,
Chloë Grace Moretz,Isabelle,,,,
Ray Winstone,Uncle Claude,,,,
Emily Mortimer,Lisette,,,,
Christopher Lee,Monsieur Labisse,,,,
Helen McCrory,Mama Jeanne,,,,
Michael Stuhlbarg,Rene Tabard,,,,
Frances de la Tour,Madame Emilie,,,,
Richard Griffiths,Monsieur Frick,,,,
Jude Law,Hugo's Father,,,,
Kevin Eldon,Policeman,,,,
Gulliver McGrath,Young Tabard,,,,
Shaun Aylward,Street Kid,,,,
Lauren Bittner,Julie,,,,
Christopher Nicholas Smith,Dennis (as Chris Smith),,,,
Chloe Csengery,Katie,,,,
Jessica Tyler Brown,Kristi (as Jessica Brown),,,,
Hallie Foote,Grandma Lois,,,,
Dustin Ingram,Randy Rosen,,,,
Johanna Braddy,Lisa,,,,
Katie Featherston,Adult Katie,,,,
Brian Boland,Daniel,,,,
Sprague Grayden,Adult Kristi,,,,
William Juan Prieto,Hunter (as William Prieto),,,,
Jackson Xenia Prieto,Hunter (as Jackson Prieto),,,,
Paitoon Cheng,Ida,,,,
Eddie Medrano,Party Magician,,,,
Rebecca Delgado Smith,Crying Bridesmaid,,,,
Jason Bateman,Nick Hendricks,,,,
Steve Wiebe,"Thomas, Head of Security",,,,
Kevin Spacey,Dave Harken,,,,
Charlie Day,Dale Arbus,,,,
Lindsay Sloane,Stacy,,,,
Michael Albala,Mr. Anderton,,,,
Jennifer Aniston,"Dr. Julia Harris, D.D.S.",,,,
Jason Sudeikis,Kurt Buckman,,,,
Jennifer Hasty,Kurt's Co-Worker,,,,
Reginald Ballard,Kurt's Co-Worker,,,,
George Back,Kurt's Co-Worker,,,,
Barry Livingston,Kurt's Co-Worker,,,,
Meghan Markle,Jamie,,,,
Donald Sutherland,Jack Pellit,,,,
Celia Finkelstein,Margie Emerman,,,,
Aaron Eckhart,Ssgt. Michael Nantz,,,,
Ramon Rodriguez,2nd Lt. William Martinez,,,,
Will Rothhaar,Cpl. Lee Imlay,,,,
Cory Hardrict,Cpl. Jason Lockett,,,,
Jim Parrack,LCpl. Peter Kerns,,,,
Gino Anthony Pesi,Cpl. Nick Stavrou,,,,
Ne-Yo,Cpl. Kevin Harris,,,,
James Hiroyuki Liao,LCpl. Steven Mottola,,,,
Bridget Moynahan,Michele,,,,
Noel Fisher,Pfc. Shaun Lenihan,,,,
Adetokumboh M'Cormack,Corpsman Jibril Adukwu,,,,
Bryce Cass,Hector Rincon,,,,
Michael Peña,Joe Rincon,,,,
Michelle Rodriguez,TSgt. Elena Santos,,,,
Neil Brown Jr.,LCpl. Richard Guerrero,,,,
Adam Sandler,Danny,,,,
Jennifer Aniston,Katherine,,,,
Nicole Kidman,Devlin Adams,,,,
Nick Swardson,Eddie,,,,
Brooklyn Decker,Palmer,,,,
Bailee Madison,Maggie,,,,
Griffin Gluck,Michael,,,,
Dave Matthews,Ian Maxtone Jones,,,,
Kevin Nealon,Adon,,,,
Rachel Dratch,Kirsten Brant,,,,
Allen Covert,Soul Patch,,,,
Dan Patrick,Tanner Patrick,,,,
Minka Kelly,Joanna Damon,,,,
Jackie Sandler,Veruca,,,,
Rakefet Abergel,Patricia,,,,
Cameron Diaz,Elizabeth Halsey,,,,
Lucy Punch,Amy Squirrel,,,,
Jason Segel,Russell Gettis,,,,
Justin Timberlake,Scott Delacorte,,,,
Phyllis Smith,Lynn Davies,,,,
John Michael Higgins,Principal Wally Snur,,,,
Dave Allen,Sandy Pinkus (as Dave 'Gruber' Allen),,,,
Jillian Armenante,Ms. Pavicic,,,,
Matthew J. Evans,Garrett Tiara,,,,
Kaitlyn Dever,Sasha Abernathy,,,,
Kathryn Newton,Chase Rubin-Rossi,,,,
Igal Ben Yair,Arkady,,,,
Aja Bair,Devon (Chase's Friend) (as Aja Cheyenne Bair),,,,
Andra Nechita,Gaby,,,,
Noah Munck,Tristan,,,,
Emma Stone,Skeeter Phelan,,,,
Viola Davis,Aibileen Clark,,,,
Bryce Dallas Howard,Hilly Holbrook,,,,
Octavia Spencer,Minny Jackson,,,,
Jessica Chastain,Celia Foote,,,,
Ahna O'Reilly,Elizabeth Leefolt,,,,
Allison Janney,Charlotte Phelan,,,,
Anna Camp,Jolene French,,,,
Eleanor Henry,Mae Mobley,,,,
Emma Henry,Mae Mobley,,,,
Chris Lowell,Stuart Whitworth,,,,
Cicely Tyson,Constantine Jefferson,,,,
Mike Vogel,Johnny Foote,,,,
Sissy Spacek,Missus Walters,,,,
Brian Kerwin,Robert Phelan,,,,
Ryan Reynolds,Hal Jordan / Green Lantern,,,,
Blake Lively,Carol Ferris,,,,
Peter Sarsgaard,Hector Hammond,,,,
Mark Strong,Sinestro,,,,
Tim Robbins,Hammond,,,,
Jay O. Sanders,Carl Ferris,,,,
Taika Waititi,Tom Kalmaku,,,,
Angela Bassett,Doctor Waller,,,,
Mike Doyle,Jack Jordan,,,,
Nick Jandl,Jim Jordan,,,,
Dylan James,Jason Jordan,,,,
Gattlin Griffith,Young Hal,,,,
Jon Tenney,Martin Jordan,,,,
Leanne Cochran,Janice Jordan,,,,
Temuera Morrison,Abin Sur,,,,
Henry Cavill,Theseus,,,,
Mickey Rourke,King Hyperion,,,,
Stephen Dorff,Stavros,,,,
Freida Pinto,Phaedra,,,,
Luke Evans,Zeus,,,,
John Hurt,Old Man,,,,
Joseph Morgan,Lysander,,,,
Anne Day-Jones,Aethra (as Anne Day Jones),,,,
Greg Bryk,The Monk,,,,
Alan Van Sprang,Dareios,,,,
Peter Stebbings,Helios,,,,
Daniel Sharman,Ares,,,,
Isabel Lucas,Athena,,,,
Kellan Lutz,Poseidon,,,,
Steve Byers,Heracles,,,,
Seth Rogen,Britt Reid / The Green Hornet,,,,
Jay Chou,Kato,,,,
Cameron Diaz,Lenore Case,,,,
Tom Wilkinson,James Reid,,,,
Christoph Waltz,Chudnofsky,,,,
David Harbour,Scanlon,,,,
Edward James Olmos,Axford,,,,
Jamie Harris,Popeye,,,,
Chad L. Coleman,Chili (as Chad Coleman),,,,
Edward Furlong,Tupper,,,,
Jill Remez,Daily Sentinel Reporter,,,,
Joe O'Connor,Daily Sentinel Reporter,,,,
Morgan Rusler,Daily Sentinel Reporter,,,,
Joshua Erenberg,Young Britt (as Joshua Chandler Erenberg),,,,
Analeigh Tipton,Ana Lee,,,,
Johnny Depp,Rango / Lars (voice),,,,
Isla Fisher,Beans (voice),,,,
Abigail Breslin,Priscilla (voice),,,,
Ned Beatty,Mayor (voice),,,,
Alfred Molina,Roadkill (voice),,,,
Bill Nighy,Rattlesnake Jake (voice),,,,
Stephen Root,Doc / Merrimack / Mr. Snuggles (voice),,,,
Harry Dean Stanton,Balthazar (voice),,,,
Timothy Olyphant,Spirit of the West (voice),,,,
Ray Winstone,Bad Bill (voice),,,,
Ian Abercrombie,Ambrose (voice),,,,
Gil Birmingham,Wounded Bird (voice),,,,
James Ward Byrkit,Waffles / Gordy / Papa Joad / Cousin Murt / Curlie / Knife Attacker / Rodent Kid (voice),,,,
Claudia Black,Angelique (voice),,,,
Blake Clark,Buford (voice),,,,
Joel Courtney,Joe Lamb,,,,
Jessica Tuck,Mrs. Kaznyk,,,,
Joel McKinnon Miller,Mr. Kaznyk,,,,
Ryan Lee,Cary,,,,
Zach Mills,Preston,,,,
Riley Griffiths,Charles Kaznyk,,,,
Gabriel Basso,Martin,,,,
Kyle Chandler,Deputy Jackson Lamb,,,,
Ron Eldard,Louis Dainard,,,,
AJ Michalka,Jen Kaznyk,,,,
Andrew Miller,Kaznyk Twin,,,,
Jakob Miller,Kaznyk Twin,,,,
Jade Griffiths,Benji Kaznyk,,,,
Britt Flatmo,Peg Kaznyk,,,,
Elle Fanning,Alice Dainard,,,,
Kristen Wiig,Annie,,,,
Terry Crews,Boot Camp Instructor,,,,
Maya Rudolph,Lillian,,,,
Tom Yi,Jewelry Store Couple,,,,
Elaine Kao,Jewelry Store Couple,,,,
Michael Hitchcock,Don Cholodecki,,,,
Kali Hawk,Kahlua,,,,
Joe Nunez,Oscar the Security Guard (as Joseph A. Nunez),,,,
Rebel Wilson,Brynn,,,,
Matt Lucas,Gil,,,,
Jill Clayburgh,Annie's Mom,,,,
Wendi McLendon-Covey,Rita,,,,
Ellie Kemper,Becca,,,,
Greg Tuculescu,Kevin,,,,
Steve Bannos,Annie's Mistaken Husband,,,,
Hugh Jackman,Charlie Kenton,,,,
Dakota Goyo,Max Kenton,,,,
Evangeline Lilly,Bailey Tallet,,,,
Anthony Mackie,Finn,,,,
Kevin Durand,Ricky,,,,
Hope Davis,Aunt Debra,,,,
James Rebhorn,Marvin,,,,
Karl Yune,Tak Mashido,,,,
Olga Fonda,Farra Lemkova,,,,
John Gatins,Kingpin,,,,
Sophie Levy,Big Sister,,,,
Tess Levy,Little Sister,,,,
Charlie Levy,Littlest Sister,,,,
Gregory Sims,Bill Panner,,,,
Torey Adkins,Large Texan Man,,,,
Jason Lee,Dave,,,,
David Cross,Ian,,,,
Jenny Slate,Zoe,,,,
Justin Long,Alvin (voice),,,,
Matthew Gray Gubler,Simon (voice),,,,
Jesse McCartney,Theodore (voice),,,,
Amy Poehler,Eleanor (voice),,,,
Anna Faris,Jeanette (voice),,,,
Christina Applegate,Brittany (voice),,,,
Alan Tudyk,Simone (voice),,,,
Michael P. Northey,Hawaiian Shirt Guy (as Michael Northey),,,,
Sophia Aguiar,Club Woman #1,,,,
Lauren Gottlieb,Club Woman #2,,,,
Tera Perez,Club Woman #3,,,,
Andy Buckley,Captain Correlli,,,,
James McAvoy,Charles Xavier (24 Years),,,,
Laurence Belcher,Charles Xavier (12 Years),,,,
Michael Fassbender,Erik Lensherr,,,,
Bill Milner,Young Erik,,,,
Kevin Bacon,Sebastian Shaw,,,,
Rose Byrne,Moira MacTaggert,,,,
Jennifer Lawrence,Raven / Mystique,,,,
Beth Goddard,Mrs. Xavier,,,,
Morgan Lily,Young Raven (10 Years),,,,
Oliver Platt,Man in Black Suit,,,,
Álex González,Janos Quested / Riptide (as Alex González),,,,
Jason Flemyng,Azazel,,,,
Zoë Kravitz,Angel Salvadore,,,,
January Jones,Emma Frost,,,,
Nicholas Hoult,Hank / Beast,,,,
Chris Evans,Captain America / Steve Rogers,,,,
Hayley Atwell,Peggy Carter,,,,
Sebastian Stan,James Buchanan 'Bucky' Barnes,,,,
Tommy Lee Jones,Colonel Chester Phillips,,,,
Hugo Weaving,Johann Schmidt / Red Skull,,,,
Dominic Cooper,Howard Stark,,,,
Richard Armitage,Heinz Kruger,,,,
Stanley Tucci,Dr. Abraham Erskine,,,,
Samuel L. Jackson,Nick Fury,,,,
Toby Jones,Dr. Arnim Zola,,,,
Neal McDonough,Timothy 'Dum Dum' Dugan,,,,
Derek Luke,Gabe Jones,,,,
Kenneth Choi,Jim Morita,,,,
JJ Feild,James Montgomery Falsworth,,,,
Bruno Ricci,Jacques Dernier,,,,
Jamie Bell,Tintin (voice),,,,
Andy Serkis,Captain Haddock / Sir Francis Haddock (voice),,,,
Daniel Craig,Sakharine / Red Rackham (voice),,,,
Nick Frost,Thomson (voice),,,,
Simon Pegg,Thompson (voice),,,,
Daniel Mays,Allan / Pirate Flunky #1 (voice),,,,
Gad Elmaleh,Ben Salaad (voice),,,,
Toby Jones,Silk (voice),,,,
Joe Starr,Barnaby (voice),,,,
Enn Reitel,Nestor / Mr. Crabtree (voice),,,,
Mackenzie Crook,Tom / Pirate Flunky #2 (voice),,,,
Tony Curran,Lieutenant Delcourt (voice),,,,
Sonje Fortag,Mrs. Finch (voice),,,,
Cary Elwes,Pilot (voice),,,,
Phillip Rhys,Co-Pilot / French Medic (voice),,,,
Chris Hemsworth,Thor,,,,
Natalie Portman,Jane Foster,,,,
Tom Hiddleston,Loki,,,,
Anthony Hopkins,Odin,,,,
Stellan Skarsgård,Erik Selvig,,,,
Kat Dennings,Darcy Lewis,,,,
Clark Gregg,Agent Coulson,,,,
Colm Feore,King Laufey,,,,
Idris Elba,Heimdall,,,,
Ray Stevenson,Volstagg,,,,
Tadanobu Asano,Hogun,,,,
Josh Dallas,Fandral,,,,
Jaimie Alexander,Sif,,,,
Rene Russo,Frigga,,,,
Adriana Barraza,Isabela Alvarez,,,,
Andy Serkis,Caesar,,,,
Karin Konoval,Maurice / Court Clerk,,,,
Terry Notary,Rocket / Bright Eyes,,,,
Richard Ridings,Buck - Ape,,,,
Christopher Gordon,Koba - Ape (as Chris Gordon),,,,
Devyn Dalton,Cornelia - Ape,,,,
Jay Caputo,Alpha,,,,
James Franco,Will Rodman,,,,
Freida Pinto,Caroline Aranha,,,,
John Lithgow,Charles Rodman,,,,
Brian Cox,John Landon,,,,
Tom Felton,Dodge Landon,,,,
David Oyelowo,Steven Jacobs,,,,
Tyler Labine,Robert Franklin,,,,
Jamie Harris,Rodney - Shelter Assistant,,,,
Karen Disher,Mother Bird (voice),,,,
Jason Fricchione,Truck Driver (voice),,,,
Sofia Scarpa Saldanha,Young Linda (voice),,,,
Leslie Mann,Linda (voice),,,,
Kelly Keaton,Bookstore Customer / Lady Tourist (voice),,,,
Jesse Eisenberg,Blu (voice),,,,
Wanda Sykes,Chloe (The Goose) (voice),,,,
Jane Lynch,Alice (The Other Goose) (voice),,,,
Rodrigo Santoro,Tulio / Soccer Announcer (voice),,,,
Gracinha Leporace,Dr. Barbosa (voice),,,,
Jamie Foxx,Nico (voice),,,,
Will.i.am,Pedro (voice) (as will.i.am),,,,
Phil Miler,Aviary Intern / Waiter (voice),,,,
Anne Hathaway,Jewel (voice),,,,
Bernardo De Paula,Sylvio / Kipo (voice) (as Bernardo de Paula),,,,
Robert Downey Jr.,Sherlock Holmes,,,,
Jude Law,Dr. John Watson,,,,
Noomi Rapace,Madam Simza Heron,,,,
Rachel McAdams,Irene Adler,,,,
Jared Harris,Professor James Moriarty,,,,
Stephen Fry,Mycroft Holmes,,,,
Paul Anderson,Colonel Sebastian Moran,,,,
Kelly Reilly,Mary Watson,,,,
Geraldine James,Mrs. Hudson,,,,
Eddie Marsan,Inspector Lestrade,,,,
William Houston,Constable Clark,,,,
Wolf Kahler,Doctor Hoffmanstahl,,,,
Iain Mitchell,Auctioneer,,,,
Jack Laskey,Carruthers,,,,
Patricia Slater,Shush Club Maitre D',,,,
Antonio Banderas,Puss in Boots (voice),,,,
Salma Hayek,Kitty Softpaws (voice),,,,
Zach Galifianakis,Humpty Alexander Dumpty (voice),,,,
Billy Bob Thornton,Jack (voice),,,,
Amy Sedaris,Jill (voice),,,,
Constance Marie,Imelda (voice),,,,
Guillermo del Toro,Moustache Man / Comandante (voice),,,,
Mike Mitchell,Andy Beanstalk (voice),,,,
Rich Dietl,Bounty Hunter (voice) (as Rich B. Dietl),,,,
Ryan Crego,Luis (voice),,,,
Tom Wheeler,Bartender / Mean Boy / Wagon Driver / Hotel Owner / Rodrigo (voice),,,,
Conrad Vernon,Raoul / Soldier (voice),,,,
Tom McGrath,Bar Thief (voice),,,,
Bob Joles,Giuseppe (voice),,,,
Latifa Ouaou,Crazy Woman / Mean Girl / Milk Lady / Little Boy (voice),,,,
Larry the Cable Guy,Mater (voice),,,,
Owen Wilson,Lightning McQueen (voice),,,,
Michael Caine,Finn McMissile (voice),,,,
Emily Mortimer,Holley Shiftwell (voice),,,,
Eddie Izzard,Sir Miles Axlerod (voice),,,,
John Turturro,Francesco Bernoulli (voice),,,,
Brent Musburger,Brent Mustangburger (voice),,,,
Joe Mantegna,Grem (voice),,,,
Thomas Kretschmann,Professor Z (voice),,,,
Peter Jacobson,Acer (voice),,,,
Bonnie Hunt,Sally (voice),,,,
Darrell Waltrip,Darrell Cartrip (voice),,,,
Franco Nero,Uncle Topolino (voice),,,,
David Hobbs,David Hobbscap (voice),,,,
Patrick Walker,Mel Dorado (voice),,,,
Hank Azaria,Gargamel,,,,
Neil Patrick Harris,Patrick Winslow,,,,
Jayma Mays,Grace Winslow,,,,
Sofía Vergara,Odile Anjelou,,,,
Tim Gunn,Henri,,,,
Madison McKinley,Model,,,,
Meg Phillips,Model,,,,
Julie Chang,Newscaster,,,,
Roger Clark,Newscaster,,,,
Mark Doherty,Bluetooth Businessman,,,,
Minglie Chen,Young Woman,,,,
Sean Kenin,Guy in Plaid Shirt,,,,
Victor Pagan,Bum,,,,
Mahadeo Shivraj,Cabbie,,,,
Adria Baratta,Anjelou Employee,,,,
Bradley Cooper,Phil,,,,
Ed Helms,Stu,,,,
Zach Galifianakis,Alan,,,,
Justin Bartha,Doug,,,,
Ken Jeong,Mr. Chow,,,,
Paul Giamatti,Kingsley,,,,
Mike Tyson,Mike Tyson,,,,
Jeffrey Tambor,Sid Garner,,,,
Mason Lee,Teddy,,,,
Jamie Chung,Lauren,,,,
Sasha Barrese,Tracy,,,,
Gillian Vigman,Stephanie,,,,
Aroon Seeboonruang,Monk,,,,
Nirut Sirichanya,Fohn,,,,
Yasmin Lee,Kimmy,,,,
Vin Diesel,Dominic Toretto,,,,
Paul Walker,Brian O'Conner,,,,
Jordana Brewster,Mia,,,,
Tyrese Gibson,Roman,,,,
Ludacris,Tej (as Chris 'Ludacris' Bridges),,,,
Matt Schulze,Vince,,,,
Sung Kang,Han,,,,
Gal Gadot,Gisele,,,,
Tego Calderon,Leo,,,,
Don Omar,Santos,,,,
Joaquim de Almeida,Reyes,,,,
Dwayne Johnson,Hobbs,,,,
Elsa Pataky,Elena,,,,
Michael Irby,Zizi,,,,
Fernando Chien,Wilkes (as Fernando F. Chien),,,,
Jack Black,Po (voice),,,,
Angelina Jolie,Tigress (voice),,,,
Dustin Hoffman,Shifu (voice),,,,
Gary Oldman,Shen (voice),,,,
Jackie Chan,Monkey (voice),,,,
Seth Rogen,Mantis (voice),,,,
Lucy Liu,Viper (voice),,,,
David Cross,Crane (voice),,,,
James Hong,Mr. Ping (voice),,,,
Michelle Yeoh,Soothsayer (voice),,,,
Danny McBride,Wolf Boss (voice),,,,
Dennis Haysbert,Master Ox (voice),,,,
Jean-Claude Van Damme,Master Croc (voice),,,,
Victor Garber,Master Rhino (voice),,,,
Mike Bell,Gorilla Guard 1 (voice) (as Michael Patrick Bell),,,,
Tom Cruise,Ethan Hunt,,,,
Paula Patton,Jane,,,,
Simon Pegg,Benji,,,,
Jeremy Renner,Brandt,,,,
Michael Nyqvist,Hendricks,,,,
Vladimir Mashkov,Sidorov,,,,
Samuli Edelmann,Wistrom,,,,
Ivan Shvedoff,Leonid Lisenker,,,,
Anil Kapoor,Brij Nath,,,,
Léa Seydoux,Sabine Moreau,,,,
Josh Holloway,Hanaway,,,,
Pavel Kríz,Marek Stefanski,,,,
Miraj Grbic,Bogdan,,,,
Ilia Volok,The Fog,,,,
Goran Navojec,Burly Russian Prisoner,,,,
Taylor Lautner,Jacob Black,,,,
Gil Birmingham,Billy,,,,
Billy Burke,Charlie Swan,,,,
Sarah Clarke,Renee,,,,
Ty Olsson,Phil,,,,
Kristen Stewart,Bella Swan,,,,
Ashley Greene,Alice Cullen,,,,
Jackson Rathbone,Jasper Hale,,,,
Peter Facinelli,Dr. Carlisle Cullen,,,,
Elizabeth Reaser,Esme Cullen,,,,
Kellan Lutz,Emmett Cullen,,,,
Nikki Reed,Rosalie Hale,,,,
Robert Pattinson,Edward Cullen,,,,
Christian Sloan,Unsavory Man,,,,
James Pizzinato,Unsavory Man,,,,
Johnny Depp,Jack Sparrow,,,,
Penélope Cruz,Angelica,,,,
Geoffrey Rush,Barbossa,,,,
Ian McShane,Blackbeard,,,,
Kevin McNally,Gibbs,,,,
Sam Claflin,Philip,,,,
Astrid Bergès-Frisbey,Syrena (Mermaid),,,,
Stephen Graham,Scrum,,,,
Keith Richards,Captain Teague,,,,
Richard Griffiths,King George,,,,
Greg Ellis,Groves,,,,
Damian O'Hare,Gillette,,,,
Óscar Jaenada,The Spaniard,,,,
Anton Lesser,Lord John Carteret,,,,
Roger Allam,Prime Minister Henry Pelham,,,,
Shia LaBeouf,Sam Witwicky,,,,
Rosie Huntington-Whiteley,Carly,,,,
Josh Duhamel,Lennox,,,,
John Turturro,Simmons,,,,
Tyrese Gibson,Epps,,,,
Patrick Dempsey,Dylan,,,,
Frances McDormand,Mearing,,,,
John Malkovich,Bruce Brazos,,,,
Kevin Dunn,Ron Witwicky,,,,
Julie White,Judy Witwicky,,,,
Alan Tudyk,Dutch,,,,
Ken Jeong,Jerry Wang,,,,
Glenn Morshower,General Morshower,,,,
Lester Speight,Eddie,,,,
Buzz Aldrin,Buzz Aldrin,,,,
Ralph Fiennes,Lord Voldemort,,,,
Michael Gambon,Professor Albus Dumbledore,,,,
Alan Rickman,Professor Severus Snape,,,,
Daniel Radcliffe,Harry Potter,,,,
Rupert Grint,Ron Weasley,,,,
Emma Watson,Hermione Granger,,,,
Evanna Lynch,Luna Lovegood,,,,
Domhnall Gleeson,Bill Weasley,,,,
Clémence Poésy,Fleur Delacour,,,,
Warwick Davis,Griphook / Professor Filius Flitwick,,,,
John Hurt,Ollivander,,,,
Helena Bonham Carter,Bellatrix Lestrange,,,,
Graham Duff,Death Eater,,,,
Anthony Allgood,Gringotts' Guard,,,,
Rusty Goffe,Aged Gringotts' Goblin,,,,
Bruce Willis,Jimmy,,,,
Tracy Morgan,Paul,,,,
Juan Carlos Hernández,Raul (as Juan Carlos Hernandez),,,,
Cory Fernandez,Juan,,,,
Jason Hurt,Youth #1,,,,
Jeff Lima,Youth #2,,,,
Sean Cullen,Captain Romans,,,,
Kevin Pollak,Hunsaker,,,,
Adam Brody,Barry Mangold,,,,
Guillermo Díaz,Poh Boy,,,,
Alberto Bonilla,Julio,,,,
Robinson Aponte,Banger #1,,,,
Jeremy Dash,Banger #2,,,,
Mando Alvarado,Mexican Man #1,,,,
Michelle Trachtenberg,Ava,,,,
Caitlyn Rund,Alyssa Craig (11 yrs) (as Caitlyn Paige Rund),,,,
Moisés Acevedo,Mugger (as Moises Acevedo),,,,
Noel Rodriguez,Mugger,,,,
Kevin P. McCarthy,Police Chief (as Kevin McCarthy),,,,
Chris Cooper,Sgt. Neil Craig,,,,
Robert Pattinson,Tyler Hawkins,,,,
Athena Currey,Toothbrush Girl,,,,
Lena Olin,Diane Hirsch,,,,
Gregory Jbara,Les Hirsch,,,,
Ruby Jerins,Caroline Hawkins,,,,
Pierce Brosnan,Charles Hawkins,,,,
Angela Pietropinto,Diner Waitress,,,,
Tate Ellington,Aidan Hall,,,,
David Deblinger,NYU Professor,,,,
Emilie de Ravin,Ally Craig,,,,
Rachel McAdams,Becky,,,,
Noah Bean,First Date,,,,
Jack Davidson,Dog Walking Neighbor,,,,
Vanessa Aspillaga,Anna,,,,
Jeff Hiller,Sam - Channel 9 Producer,,,,
Linda Powell,Louanne,,,,
Mike Hydeck,Ralph,,,,
Joseph J. Vargas,Channel 9 Director,,,,
Mario Frieson,Channel 9 Technical Director,,,,
Kevin Herbst,Channel 9 Associate Director,,,,
Jerome Weinstein,Fred,,,,
Steve Park,Channel 9 Weatherperson (as Stephen Park),,,,
David Fonteno,Oscar,,,,
Patti D'Arbanville,Becky's Mom,,,,
Jeff Goldblum,Jerry Barnes,,,,
Ewan McGregor,The Ghost,,,,
Jon Bernthal,Rick Ricardelli,,,,
Tim Preece,Roy,,,,
Jim Belushi,John Maddox (as James Belushi),,,,
Timothy Hutton,Sidney Kroll,,,,
Anna Botting,SKY TV Newsreader,,,,
Yvonne Tomlinson,Stewardess,,,,
Milton Welsh,Taxi Driver,,,,
Alister Mazzotti,Protection Officer #1,,,,
Tim Faraday,Barry,,,,
Kim Cattrall,Amelia Bly,,,,
Kate Copeland,Alice,,,,
Soogi Kang,Dep,,,,
Lee Hong Thay,Duc,,,,
Olivia Williams,Ruth Lang,,,,
Diane Lane,Penny Chenery,,,,
John Malkovich,Lucien Laurin,,,,
Dylan Walsh,Jack Tweedy,,,,
Margo Martindale,Miss Ham,,,,
Nelsan Ellis,Eddie Sweat,,,,
Otto Thorwarth,Ronnie Turcotte,,,,
Fred Dalton Thompson,Bull Hancock,,,,
James Cromwell,Ogden Phipps,,,,
Scott Glenn,Chris Chenery,,,,
Michael Harding,E.V. Benjamin (as Mike Harding),,,,
Richard Fullerton,Robert Kleburg,,,,
Tim Ware,John Galbreath,,,,
Nestor Serrano,Pancho Martin,,,,
Keith Austin,Laffit Pincay,,,,
Kevin Connolly,Bill Nack,,,,
James Franco,Aron Ralston,,,,
Kate Mara,Kristi,,,,
Amber Tamblyn,Megan,,,,
